,Name,Price
0,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4050, Intel Core i5-13450HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JU-NS54",899.99
1,"Lenovo IdeaPad Slim 5i Laptop Intel i7 13th Gen 1355U 16GB RAM 1TB  SSD 16.0"" Windows 11 Home Intel Iris Xe Graphics 82XF002SUS",699.99
2,"MSI Summit E13FlipEvo A12MT-026 13.4"" Touchscreen Laptop  i7-1280P (1.80GHz) 16GB RAM 1TB SSD Intel Iris Xe Graphics Windows 11 Home",799
3,"Acer Chromebook 314 Intel Celeron N4500 (1.10GHz) 4 GB LPDDR4X Memory 128 GB eMMC 14"" IPS Touchscreen Chrome OS CB314-3HT-C9VS",299.99
4,"HP Essential 255 G9 Laptop, 15.6"" FHD Screen, AMD Ryzen 3 5425U, 32GB RAM, 2TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Dark Ash Silver",454
5,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 7-7730U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-048US",469
6,"LG GRAM  2-in-1 Laptop Intel Core i7-1260P 2.10 GHz 16"" Windows 11 Pro 16T90Q-K.APB7U1",1149.99
7,"Lenovo 82XV00LFUS Gaming Laptop Intel Core i5-13420H 2.10 GHz 15.6"" Windows 11 Home 64-bit",719.99
8,"MSI Pulse 15 B13VGK-287US Gaming Laptop Intel Core i9-13900H 2.60 GHz 15.6"" Windows 11 Home 64-bit",1599
9,"Lenovo Laptop IdeaPad 1 15ALC7 AMD Ryzen 5 5000 Series 5500U (2.10GHz) 8GB Memory 512 GB PCIe SSD AMD Radeon Graphics 15.6"" Windows 11 Home 64-bit 82R400EMUS",379.99
10,"Acer Chromebook 514 Chromebook 14.0"" Chrome OS CB514-1W-5280",687.99
11,"HP Pavilion x360 14-dy2076nr Intel Core i5 12th Gen 1235U (1.30GHz) 8 GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 14"" Touchscreen 1366 x 768 Convertible 2-in-1 Laptop Windows 11 Home 64-bit",599.99
12,"Hasee Z8 (15.6'', i5-12450H, RTX3050), Gaming Laptop, i5-12450H 4.4GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3050 4G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF6,BT, Win11, Ore Black",659.99
13,"Lenovo 82WK000BUS Gaming Laptop Intel Core i7-13700HX 2.10 GHz 16.0"" Windows 11 Home 64-bit",1249.99
14,"MSI Thin GF63 12UC-851US Gaming Laptop Intel Core i5-12450H 2.00 GHz 15.6"" Windows 11 Home 64-bit",599
15,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 5-7530U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-049US",429
16,"Lenovo IdeaPad Flex 5 16ABR8 2-in-1 Laptop AMD Ryzen 5 7530U 2.00 GHz 16"" Windows 11 Home 64-bit 82XY0030US",599.99
17,"MSI 17.0"" Windows 11 Pro 64-bit Mobile Workstation CreatorPro Z17HXStudio A13VKT-077US",3318.12
18,"MSI Modern 15H 15.6"" Ultra Thin and Light Professional Laptop Intel® Core™ i5-13420H Iris Xe 32GB DDR4 1TB NVMe SSD Win 11 Home B13M-022US",629
19,"MSI Laptop Intel Core i3 12th Gen 1215U (1.20GHz) 8GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 11 Home 64-bit Modern 15 B12M-433US",379
20,"MSI Modern 14 14"" Ultra Thin and Light Laptop Intel® Core™ i5-1155G7, 16GB Memory, 512GB NVMe SSD Win 11 Home",399
21,"Acer ANV15-51-59MT Gaming Laptop Intel Core i5-13420H 2.10 GHz 15.6"" Windows 11 Home 64-bit",719.99
22,"MSI SUMMIT E16 FLIP EVO 16"" QHD+ 165hz Touch Ultra Thin 2-in-1 Professional Laptop Intel® Core™ i7-1360P Iris Xe 32GB LPDDR5 1TB NVMe SSD Win 11 Pro with MSI Pen, A13MT-258US 3 Years Warranty",1607.84
23,"ASUS ZenBook Pro Duo 15 OLED 15.6"" 4K UHD Touch, Intel Core i9-12900H, RTX 3070 Ti, 32GB RAM, 4TB PCIe SSD, Windows 11 Pro, Blue",2309
24,"Lenovo Laptop IdeaPad 1 15IRU7 Intel Core i3 13th Gen 1315U (1.20GHz) 8GB Memory 256 GB PCIe SSD Intel UHD Graphics 15.6"" Windows 11 in S mode 83B40000US",329.99
25,"Acer PH16-71-71AV Gaming Laptop Intel Core i7-13700HX 2.10 GHz 16.0"" Windows 11 Home 64-bit",1199.99
26,"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707XI-NS94",1399.99
27,"Lenovo Laptop IdeaPad 3 15ITL05 Intel Core i3 11th Gen 1115G4 (3.00GHz) 4GB Memory 128 GB PCIe SSD Intel UHD Graphics 15.6"" Windows 11 in S mode 81X800EKUS",279.99
28,"MSI Laptop Intel Core i7 13th Gen 13620H (2.40GHz) 64GB Memory 2 TB PCIe SSD NVIDIA GeForce RTX 4050 Laptop GPU 16.0"" Windows 11 Home 64-bit Creator M16 B13VE-1661US",1299
29,"Microsoft Surface Pro 9 - Intel Core i7-1255U - 16GB RAM - 512GB SSD - 13"" 120Hz Touchscreen - Windows 11 Home - Intel Evo Platform - QIX-00018 - Graphite",1399.99
30,"GIGABYTE G5 KF-E3US333SH Gaming Laptop Intel Core i5-12500H 2.50 GHz 15.6"" Windows 11 Home 64-bit",749.99
31,"Lenovo 82XW001WUS Gaming Laptop Intel Core i7-13620H 2.40 GHz 16.0"" Windows 11 Home 64-bit",949.99
32,"Acer Laptop Aspire 5 Intel Core i7 13th Gen 1355U (1.70GHz) 16 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit A515-58M-78JL",549.99
33,"Lenovo 82WQ005CUS Gaming Laptop Intel Core i9-13900HX 2.20 GHz 16.0"" Windows 11 Home 64-bit",2799.99
34,"MSI 2-in-1 Laptop Intel Core i7-1260P 2.10 GHz 14"" Windows 11 Pro 64-bit Summit E14Flip Evo A12MT-016",1461.82
35,"MSI Raider GE66 12UGS-668CA 15.6"" FHD (1920x1080) Gaming Laptop Intel Core i9-12900H 1.8 GHz 16GB DDR5-4800MHz  1TB NVMe PCIe SSD GeForce  RTX3070 Ti Windows 11 Home - 9S7-154414-672",1299.99
36,"MSI Raider GE76 12UE-693CA 17.3"" FHD (1920x1080) Thin Bezel Gaming Laptop Intel Core i7-12700H 1.8 GHz 16GB DDR5 1TB SSD GeForce RTX3060 Windows 11 Home, Titanium Blue - 9S7-17K424-693",1099.99
37,"MSI  Stealth GS66 12UE-237CA 15.6"" FHD (1920x1080) Gaming Laptop Intel Core i7-12700H 1.7 GHz 16GB DDR5-4800MHz 512GB NVMe PCIe SSD GeForce RTX3060 Windows 11 Pro, 9S7-16V512-237",999.99
38,"GIGABYTE G6 KF - 16"" FHD 1920x1200 165Hz - NVIDIA GeForce RTX 4060 Laptop GPU - Intel Core i7-13620H - 16GB DDR5 RAM - 512GB SSD - Win11 Home - Gaming Laptop (G6 KF-H3US853SH)",949.99
39,"MSI Laptop Creator Z16 Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-046",1139
40,"MSI Thin GF63 12UCX-850US Gaming Laptop Intel Core i5-12450H 2.00 GHz 15.6"" Windows 11 Home 64-bit",529
41,"MSI Katana 17 B13VGK-845US Gaming Laptop Intel Core i7-13620H 2.40 GHz 17.3"" Windows 11 Home 64-bit",1199
42,"MSI Raider GE76 12UE-456 Gaming Laptop Intel Core i7-12700H 2.30 GHz 17.3"" Windows 11 Home 64-bit",999
43,"MSI Modern 14 14"" Ultra Thin and Light Professional Laptop Intel® Core™ i7-1195G7 Iris Xe 8GB 512GB NVMe SSD Win 11 Pro, 3 Years Warranty",479
44,"ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6"" FHD 144Hz, 100% sRGB Display, GeForce RTX 4060, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507NV-EH74",1399.99
45,"[2023] HIDevolution ASUS ROG Strix G18 G814JI 18"" QHD+ 240Hz, 2.2 GHz i9-13980HX, RTX 4070, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2259
46,"[2023] HIDevolution ASUS ROG Strix G18 G814JZ 18"" QHD+ 240Hz, 2.2 GHz i9-13980HX, RTX 4080, 16 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2349
47,"[2023] HIDevolution ASUS ROG Zephyrus G14 GA402XZ AniMe Matrix 14"" WQXGA 165Hz, 4.0 GHz Ryzen 9 7940HS, RTX 4080, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2539
48,"Hasee Z8 (15.6'', i7-12650H, RTX4060), Gaming Laptop, i7-12650H 4.7GHz, 16G DDR5 RAM, 512G NVMe PCIe4.0 SSD, RTX4060 8G GDDR6, 15.6'' QHD 165Hz 100%sRGB Display, RGB KB, WF6, BT5.2, Win11, Ore Black",999.99
49,"MSI Vector GP68HX 12VH-006 Gaming Laptop Intel Core i9-12900H 2.50 GHz 16.0"" Windows 11 Home 64-bit",1599
50,"Acer Laptop Aspire 5 Intel Core i5 13th Gen 1335U (1.30GHz) 16 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 11 Home 64-bit A515-58M-54LG",499.99
51,"Razer Blade 16 - 16"" DUAL-MODE (UHD+ 120Hz/FHD+ 240Hz) Mini-LED - 13th Gen Intel Core i9 13950HX - NVIDIA GeForce RTX 4070 - 32GB DDR5 - 1TB PCIe SSD - Win11 Home - Gaming Laptop (RZ09-0483SEJ3-R3U1)",2999.99
52,"Lenovo Legion Pro 5i Gaming Laptop, GeForce RTX 4070, Intel Core i9-13900HX, 16"" WQXGA(2560*1600) 165Hz, 64GB DDR5 RAM, WD_Black 2TB SSD + 4TB SSD, 4-Zone RGB Backlit KB, Wi-Fi 6E, Windows 11 Home",2469
53,"Lenovo Legion Pro 5i Gaming Laptop, GeForce RTX 4070, Intel Core i9-13900HX, 16"" WQXGA(2560*1600) IPS 165Hz, 32GB DDR5 RAM, WD_Black 1TB SSD, Webcam, 4-Zone RGB Backlit KB, Wi-Fi 6E, Windows 11 Home",1999
54,"[2023] HIDevolution ASUS ROG Strix G18 G814JI 18"" QHD+ 240Hz, 2.2 GHz i9-13980HX, RTX 4070, 64 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2399
55,"MSI Thin GF63 12VE-849US Gaming Laptop Intel Core i5-12450H 2.00 GHz 15.6"" Windows 11 Home 64-bit",699
56,"MSI Thin GF63 12VF-848US Gaming Laptop Intel Core i7-12650H 2.30 GHz 15.6"" Windows 11 Home 64-bit",849
57,"Lenovo 82WK00AHUS Gaming Laptop Intel Core i9-13900HX 2.20 GHz 16.0"" Windows 11 Home 64-bit",1699.99
58,"ASUS TUF Gaming F15 (2023) Gaming Laptop, 15.6"" FHD 144Hz, 100% sRGB Display, GeForce RTX 4050, Intel Core i5-13500H, 16GB DDR4, 512GB PCIe SSD Gen 4, Wi-Fi 6, Windows 11, FX507VU-ES53",1099.99
59,"ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6"" FHD 144Hz, 100% sRGB Display, GeForce RTX 4070, AMD Ryzen 9 7940HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507XI-EH94",1662.99
60,"GIGABYTE AERO Gaming Laptop 14.0"" 4K OLED - Intel Core i7 13th Gen - RTX 4050 GPU - 16GB LPDDR5 6400 Memory - 1TB PCIe SSD -  (BMF-72USBB4SH)",1199.99
61,"Acer Laptop Aspire 5 Intel Core i5 13th Gen 1335U (1.30GHz) 8 GB LPDDR5 Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit A514-56M-576D",449.99
62,"MSI Vector GP66HX 12UGS-066 Gaming Laptop Intel Core i7-12800HX 2.00 GHz 15.6"" Windows 11 Home 64-bit",1349
63,"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3"" FHD 144Hz Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NU-DS74",1226.99
64,"GIGABYTE AERO 14 OLED 9MF-E2USBB4SH Gaming Laptop Intel Core i5-12500H 2.50 GHz 14.0"" Windows 11 Home 64-bit",1099.99
65,"Acer PH16-71-72YG Gaming Laptop Intel Core i7-13700HX 2.10 GHz NVIDIA GeForce RTX 4070 16.0"" Windows 11 Home 64-bit",1799.99
66,"Acer AN16-41-R5KC Gaming Laptop AMD Ryzen 9 7940HS 4.00 GHz 16.0"" Windows 11 Home 64-bit",1429.99
67,"MSI Stealth 15 A13VF-038US Gaming Laptop Intel Core i5-13420H 2.10 GHz 15.6"" Windows 11 Home 64-bit",1249
68,"Razer RZ09-0483UEJ4-R3U1 Gaming Laptop Intel Core i9-13950HX 2.20GHz 16.0"" Windows 11 Home",4799
69,"Razer RZ09-0483TEH3-R3U1 Gaming Laptop Intel Core i9-13950HX 2.20GHz 16.0"" QHD+ Windows 11 Home",3199.99
70,"Acer PH16-71-94FB Gaming Laptop Intel Core i9-13900HX 3.00 GHz 16.0"" Windows 11 Home 64-bit",2399.99
71,"Acer AN16-51-56VR Gaming Laptop Intel Core i5-13500H 2.60 GHz 16.0"" Windows 11 Home 64-bit",1181.99
72,"Acer Predator Helios 16 PH16-71-948L Intel Core i9 13th Gen 13900HX (2.20GHz) NVIDIA GeForce RTX 4080 Laptop GPU 32 GB DDR5 1 TB PCIe Gen 4 SSD 16"" WQXGA 240 Hz IPS Windows 11 Home Gaming Laptop",2526.59
73,"Acer AN515-58-73RS Gaming Laptop Intel Core i7-12650H 2.30 GHz 15.6"" Windows 11 Home 64-bit",1160.99
74,New MSI GF63 Thin 15.6 inch Full HD 144Hz Gaming NVIDIA GeForce RTX 3050 Intel Core i5-11400H 32GB RAM 2TB SSD WiFi 6; Bluetooth 5.1 Windows 11 Home Black,923.12
75,"Lenovo IdeaPad Gaming 3 AMD Laptop, 15.6"" FHD IPS, Ryzen 5 7535HS,  RTX NVIDIA® GeForce RTX 3050 Laptop GPU 6GB GDDR6, 8GB, 512GB, For Gaming",689.99
76,"Lenovo LOQ Laptop, 15.6"" FHD IPS, i5-13500H, NVIDIA® GeForce RTX 3050 Laptop GPU 6GB GDDR6, 8GB, 512GB, For Gaming",694.99
77,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2159
78,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 64 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",2299
79,"[2023] HIDevolution ASUS ROG Strix G17 G713PI 17.3"" WQHD 240Hz, 2.5 GHz Ryzen 9 7945HX, RTX 4070, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2079
80,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NU 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4050, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",1129
81,"[2023] HIDevolution ASUS ROG Zephyrus M16 AniMe Matrix GU604VY 16"" QHD+ 240Hz, 2.6 GHz i9-13900H, RTX 4090, 64 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Pro",3579
82,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NV 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4060, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",1329
83,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NU 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4050, 32 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",1209
84,"[2023] HIDevolution ASUS ROG Zephyrus G14 GA402XY 14"" WQXGA 165Hz, 4.0 GHz Ryzen 9 7940HS, RTX 4090, 32 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Pro",2999
85,"[2023] HIDevolution ASUS ROG Zephyrus M16 GU604VZ 16"" QHD+ 240Hz, 2.6 GHz i9-13900H, RTX 4080, 16 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2599
86,"[2023] HIDevolution ASUS ROG Zephyrus G14 GA402XZ AniMe Matrix 14"" WQXGA 165Hz, 4.0 GHz Ryzen 9 7940HS, RTX 4080, 16 GB DDR5 RAM, 1 TB PCIe SSD, Windows 11 Home",2399
87,"[2023] HIDevolution ASUS TUF Gaming A17 FA707NV 17.3"" FHD 144Hz, 3.2 GHz Ryzen 7 7735HS, RTX 4060, 16 GB DDR5 RAM, 2 TB PCIe SSD, Windows 11 Home",1329
88,"Hasee S8 (15.6'', i5-12450H, RTX4050), Gaming Laptop, i5-12450H 4.4GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX4050 6G GDDR6, 15.6'' 144Hz FHD IPS Display, Backlit KB, WF6,BT5.2, Win11, Desert Black",799.99
89,"ASUS VivoBook Pro 16 Laptop, 16” Display, Intel Core i9-13900H CPU, NVIDIA GeForce RTX 4060 GPU, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, K6602VV-DS94",1499.99
90,"MSI 2-in-1 Laptop Summit E16Flip Intel Core i7-1260P 2.10 GHz 16"" Windows 11 Pro 64-bit Summit E16Flip A12UCT-008",1571.54
91,"Microsoft Surface Pro 7+ 2-in-1 Laptop Intel Core i5-1135G7 2.40 GHz 12.3"" Windows 10 Pro 64-bit 1NA-00001",869
92,"MSI Modern 15H 15.6"" Ultra Thin and Light Professional Laptop Intel® Core™ i7-13620H Iris Xe 32GB DDR4 1TB NVMe SSD Win 11 Home B13M-021US",699
93,"MSI Prestige 14 Evo Laptop Intel Core i7 12th Gen 1280P (1.80GHz) 32GB Memory 1 TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit A12M-054",799
94,"Lenovo Laptop IdeaPad Slim 5 AMD Ryzen 7 7000 Series 7730U (2.00GHz) 16GB Memory 512 GB NVMe SSD AMD Radeon Graphics 16.0"" Touchscreen Windows 11 Home 64-bit 82XG0019US",619.99
95,"Microsoft Surface Laptop Studio - 14.4"" Touchscreen - Intel® Core™ i7 - 16GB Memory - 512GB SSD - Platinum",2097.99
